"isbn","title","isbn_10","isbn_13","quantity","full_title","date_inserted","date_updated","description","authors"
"9782845800670","Vagabond - Tome 1",,,,,"2022-08-28 11:58:38.611841","2022-08-28 12:16:32.062116","Takezo et Matahachi. Dix-sept ans et bouillants d'ambition. Pour eux, quitte ou double : vaincre ou périr.","Takehiko Inoué, Eiji Yoshikawa"
"9780984782857","Cracking the Coding Interview",,,,"Cracking the Coding Interview, 6th Edition: 189 Programming Questions and Solutions","2023-02-11 17:05:07.446908","2023-02-11 17:38:38.501563","Now in the 6th edition, the book gives you the interview preparation you need to get the top software developer jobs. This is a deeply technical book and focuses on the software engineering skills to ace your interview. The book includes 189 programming interview questions and answers, as well as other advice.","Gayle Laakmann McDowell"
"9782723435994","Blame - Tome 05",,,,"Blame","2022-08-13 20:22:06.855338","2022-08-28 12:20:15.484274","Killy est un cyborg taciturne qui erre dans une gigantesque cité labyrinthique s'étendant sur des milliers de niveaux. Armé d'un revolver amplificateur de radiations et accompagné de Shibo, un scientifique, il part en quête d'un programme qui aurait échappé à la contamination globale d'un virus informatique et qui serait capable de gérer le monde.","Tsutomu Nihei"
"2a331dd0-4c74-4e5d-aefe-85162b4c4502","L'œuvre intégrale d'Hergé - Tome 6 : Le secret de la licorne, Le trésor de Rackham le Rouge",,,,,"2022-08-28 13:58:14.442","2023-02-11 18:51:50.321534",,"Hergé"
"9782840890003","Contes du Joli Bois - Tome 1",,,,,"2022-08-28 13:03:11","2023-02-11 18:43:29.365261",,"Tony Wolf"
"9782505010975","La fin du monde, avant le lever du jour",,,,"La fin du monde, avant le lever du jour","2022-08-25 14:58:47.371766","2022-08-28 16:40:39.339757","Les histoires du recueil ne sont pas toujours roses. Elles nous racontent l'histoire de collégiens, d'un père qui se fait licencier, d'une jeune femme qui retrouve une ancienne lettre qu'elle a écrite elle-même cinq ans auparavant, ... Ces petits bouts de récits sont un apprentissage de la vie. Ils nous poussent à toujours aller de l'avant malgré les hauts et les bas du quotidien.","Inio Asano"
"9782413038009","Les futurs de Liu Cixin - Tome 01 : Terre vagabonde",,,1,,"2022-07-11 21:24:01.304608","2023-02-11 18:29:04.613676"," Depuis la prévision de la mort de notre soleil, l'humanité s'activait à sa survie dans un projet sans précédent : piloter la Terre jusqu'à la constellation du Centaure afin d'y trouver la nécessaire chaleur de son étoile. Un voyage long de 2500 années terrestres... ","Christophe Bec, Stefano Raffaele "
"9782290075906","Le fantôme de Canterville",,,,,"2022-08-28 15:19:45.765689","2022-08-28 15:19:45.765689","Lorsque Mr Hiram B. Otis, un ministre américain, et sa famille font l'acquisition d'un ancien manoir, le propriétaire, Lord Canterville, les met en garde : depuis trois siècles, un fantôme hante les lieux et terrorise ses habitants. Mais le ministre affirme fièrement ne pas redouter les apparitions nocturnes... Pauvre fantôme! A peine s'est-il montré que les jumeaux Otis lui jouent de bien mauvais tours. Et les parents ont l'outrecuidance de lui offrir de l'huile pour graisser ses chaînes... Jadis si redouté, il est désormais raillé et humilié. Oscar Wilde, à travers cinq contes fantastiques empreints de poésie, illustre les secrets de l'humour anglais, à la fois drôle et grinçant.","Oscar Wilde"
"9782013211574","A la croisée des chemins",,,,,"2022-08-28 15:32:57.440357","2022-08-28 15:32:57.440357","Le rêve d'Arthur se réalise enfin ! En cette année 1200, le voici nommé écuyer de Lord Stephen de Holt, son oncle. Ce n'est pourtant pas encore pour lui le moment de partir en croisades... Il lui faut d'abord se trouver un cheval de guerre et s'habituer au port de l'armure. Alors qu'il continue à interroger sa pierre prophétique, il constate que les images qu'il reçoit reflètent de plus en plus précisément sa vie ! Mais, soudain une rencontre inattendue vient bouleverser son existence.","Kevin Crossley-Holland"
"9782379500374","Le Bateau de Thésée - Tome 05",,,,,"2022-07-11 21:43:52.773937","2022-08-28 16:48:12.551794","Shin est de retour l'poque moderne, mais rien ne va plus pour lui. Non seulement il a chou empcher la survenue du massacre d'Oto Usu, mais en plus le prsent semble avoir t modifi de fond en comble cause de ses ingrences dans le pass. Tout en essayant de se rapproprier sa propre vie, Shin continue de mener son enqute pour connaitre la vrit sur les vnements tragiques de 1989. Mais pour cela, il lui faudra affronter une fois de plus les fantmes du pass...","Toshiya Higashimoto"
"9782203202856","Sengo - tome 3 : Familles",,,1,"Familles","2022-07-11 21:10:54.554389","2023-02-11 18:12:42.712906"," Sur le front chinois, Kawashima a tué pour la première fois lors d'un exercice destiné à endurcir les jeunes recrues. Après la guerre, de retour dans un Japon qu'il s'imaginait ne jamais revoir, il vit avec les fantômes de ses camarades morts au combat et de cet homme qu'il a lui-même décapité, jusqu'au jour où il s'écroule... ","Sansuke Yamada"
"9782505084969","Yawara - Tome 2",,,1,,"2022-07-11 21:07:56.518568","2023-02-11 18:12:42.712906",,"Naoki Urasawa"
